Channel Number,Frequency,Bias Line,Optically Active,Selected
0,6000045664.06255,8,1,1
1,6001847226.56254,8,1,1
2,6003977539.06255,8,1,1
3,6005952984.37505,8,1,1
4,6008001578.12505,8,1,1
5,6010191312.50005,8,1,1
6,6011908945.31255,8,1,1
7,6013894718.75005,-1,0,0
8,6016005445.31256,8,1,0
9,6017782625.00006,8,1,0
10,6019579703.12505,8,1,0
11,6021967656.25005,-1,0,0
12,6025116820.31256,-1,0,0
13,6025283820.31259,8,1,0
14,6025299867.18754,8,1,0
15,6026829289.06255,8,1,0
16,6028622859.37505,8,1,0
17,6030941710.93755,8,1,0
18,6032804039.06255,-1,0,0
19,6034606093.75005,-1,0,0
20,6036420710.93755,8,1,0
21,6038434710.93755,-1,0,0
22,6040150203.12505,8,1,0
23,6042441031.25005,8,1,0
24,6044347796.87505,8,1,0
25,6046530320.31255,-1,0,0
26,6047892929.68755,8,1,0
27,6050189453.12505,8,1,0
28,6052186453.12505,-1,0,0
29,6053969914.06255,8,1,0
30,6287919867.18759,-1,0,0
31,6375678429.68755,-1,0,0
32,6381315195.31255,8,1,0
33,6382692523.43755,8,1,0
34,6384839984.37505,8,1,0
35,6386768578.12505,8,1,0
36,6388332820.31255,-1,0,0
37,6389755812.50005,8,1,0
38,6391884578.12505,8,1,0
39,6394045687.50005,8,1,0
40,6395484445.31255,8,1,0
41,6397207664.06256,-1,0,0
42,6400690710.93755,8,1,0
43,6402627531.25005,8,1,0
44,6403690359.37505,8,1,0
45,6406010882.81255,8,1,0
46,6407652632.81251,8,1,0
47,6407856632.81255,8,1,0
48,6409759859.37505,8,1,0
49,6414981539.06255,8,1,0
50,6416825382.81255,8,1,0
51,6418696679.68755,8,1,0
52,6421002140.62505,8,1,0
53,6422533015.62505,8,1,0
54,6427569007.81255,8,1,0
55,6429375328.12505,8,1,0
56,6431131484.37505,8,1,0
57,6432972906.25005,8,1,0
58,6433478937.50005,8,1,0
59,6434924570.31255,8,1,0
60,6435085570.31258,8,1,0
61,6434920796.87502,8,1,0
62,6435083796.87505,8,1,0
63,6436720289.06256,8,1,0
64,6438515390.62505,8,1,0
65,6439841984.37505,-1,0,0
66,6441572078.12505,8,1,0
67,6442819960.93755,-1,0,0
68,6444591445.31255,-1,0,0
69,6446148085.93755,8,1,0
70,6448023085.93755,8,1,0
71,6451972679.68755,-1,0,0
72,6453860976.56255,8,1,0
73,6455668109.37505,8,1,0
74,6457205796.87505,-1,0,0
75,6459075054.68755,8,1,0
76,6460465843.75005,-1,0,0
77,6462037484.37505,8,1,0
78,6463385187.50005,8,1,0
79,6465752328.12505,8,1,0
80,6467054828.12505,8,1,0
81,6468399343.75005,8,1,0
82,6469858046.87505,-1,0,0
83,6471663453.12505,8,1,0
84,6473341937.50005,8,1,0
85,6474969375.00005,8,1,0
86,6477011132.81255,8,1,0
87,6480920312.50005,8,1,0
88,6482490750.00006,8,1,0
89,6485551898.43755,8,1,0
90,6487588679.68755,8,1,0
