,t (s),Phase (nPhi0)
0,1.4698892828507797,0.4782086204278345
1,4.476480997772828,0.5195524301896628
2,7.483072712694877,0.60233818208679
3,10.489664427616926,0.7258798043838399
4,13.496256142538977,0.7465244438747072
5,16.502847857461024,0.7046777420477254
6,19.50943957238307,0.8631924319515422
7,22.51603128730512,0.737393139380991
8,25.52262300222717,0.8519120256362389
9,28.52921471714922,0.8505074501979868
10,31.535806432071265,0.8815495301277854
11,34.54239814699331,0.8234362114392337
12,37.54898986191536,0.8566617000207304
13,40.55558157683741,0.887519511699843
14,43.562173291759464,0.7935516896556472
15,46.56876500668152,0.7210638165184691
16,49.575356721603555,0.7781357748477931
17,52.58194843652559,0.789316093507432
18,55.58854015144765,0.7796051248701104
19,61.47178395540691,0.6450557008429483
20,64.48172750055741,0.6189181761264955
21,67.49167104570792,0.571605472272879
22,70.50161459085842,0.5209686100935592
23,73.51155813600892,0.4518936773655955
24,76.52150168115942,0.41324565849972933
25,79.53144522630991,0.3721167060599754
26,82.54138877146042,0.30539649647186184
27,85.55133231661092,0.29056205629541837
28,88.56127586176143,0.24233082027868647
29,91.57121940691194,0.17309090946399366
30,94.58116295206243,0.1817441156950503
31,97.59110649721293,0.1642705075862982
32,100.60105004236343,0.13169845044564188
33,103.61099358751393,0.13966846190536045
34,106.62093713266444,0.14467514177461813
35,109.63088067781494,0.12523781870701486
36,112.64082422296543,0.16034366118953317
37,115.65076776811594,0.21237404345919497
38,121.4720399554069,0.28055956394814197
39,124.48198350055742,0.28634951371895256
40,127.4919270457079,0.3311683635948876
41,130.50187059085843,0.4233677528677331
42,133.5118141360089,0.4502299897581388
43,136.52175768115941,0.5375035520083713
44,139.5317012263099,0.6054030725303298
45,142.54164477146043,0.6384750172964389
46,145.55158831661092,0.7219845430686922
47,148.5615318617614,0.7344111655323086
48,151.57147540691193,0.7662651697560717
49,154.58141895206242,0.8976615507219865
50,157.59136249721294,0.901508831057463
51,160.60130604236343,0.9129303949993371
52,163.61124958751392,0.8330886645719301
53,166.62119313266442,0.9088467193433358
54,169.63113667781494,0.9349836398490217
55,172.64108022296543,0.9112855351954928
56,175.65102376811595,0.9051258699881436
57,181.5391310769231,0.8457747537120867
58,184.54897187959864,0.7295993863107691
59,187.6658292441472,0.6780203913141152
60,190.70242418729094,0.7762481284833584
61,193.71226498996654,0.6777129381601155
62,196.72210579264205,0.6172148205281607
63,199.73194659531777,0.5872374142492154
64,202.74178739799333,0.5266669485812323
65,205.75162820066888,0.46658277835587236
66,208.76146900334442,0.4139722044122387
67,211.7713098060201,0.3901657656612494
68,214.78115060869567,0.3004807754295688
69,217.79099141137127,0.2599836348239948
70,220.80083221404675,0.19371564116978526
71,223.8106730167224,0.20079493241135538
72,226.82051381939806,0.1769990599261873
73,229.8303546220736,0.17241522333598824
74,232.84019542474914,0.15090758526013426
75,235.85003622742468,0.14184742881444629
76,241.4688652828508,0.1602838038322444
77,244.47545699777288,0.1426945981991999
78,247.4820487126949,0.15197383914424673
79,250.48864042761696,0.19444638267485828
80,253.49523214253898,0.2536574353063866
81,256.5018238574611,0.29397847791644455
82,259.5084155723831,0.37175842691419225
83,262.5150072873051,0.3943279272516816
84,265.52159900222716,0.42456897335750027
85,268.52819071714924,0.5228364162448821
86,271.53478243207127,0.5791669334189864
87,274.54137414699335,0.6144839647074596
88,277.5479658619154,0.6725617578756614
89,280.55455757683745,0.6788980985991634
90,283.56114929175953,0.7209838545996062
91,286.56774100668156,0.7552414408651009
92,289.5743327216035,0.7882007047081548
93,292.5809244365256,0.8564129965694585
94,295.5875161514477,0.8323597338013196
95,301.4691212828508,0.9370075824381767
96,304.47571299777286,0.9660294101168876
97,307.4823047126948,0.8900107951786778
98,310.4888964276169,0.9387099900254796
99,313.495488142539,0.9272064854706911
100,316.50207985746107,0.8897772239688816
101,319.5086715723831,0.7917865707292707
102,322.5152632873051,0.7454003532748206
103,325.5218550022272,0.730010990639684
104,328.5284467171492,0.7064724363596928
105,331.5350384320713,0.6382465470706398
106,334.54163014699327,0.5385441069499639
107,337.54822186191535,0.521477183365776
108,340.55481357683743,0.4099749670537479
109,343.5614052917595,0.3996657638760608
110,346.5679970066815,0.34355296031657717
111,349.57458872160356,0.29570605408433887
112,352.58118043652564,0.23684268649863457
113,355.58777215144767,0.21461996369910072
114,361.4693772828508,0.1973130736032766
115,364.4759689977729,0.15124617012165342
116,367.4825607126948,0.1229253813448196
117,370.4891524276169,0.16685286714336947
118,373.4957441425389,0.13976085590933338
119,376.502335857461,0.16076099605225314
120,379.5089275723831,0.16684972285052982
121,382.5155192873051,0.18885130571587433
122,385.5221110022272,0.22473305317412962
123,388.52870271714926,0.2879240056997145
124,391.5352944320713,0.32358433297862943
125,394.54188614699336,0.3736488168917632
126,397.5484778619154,0.35800230308002706
127,400.5550695768376,0.49839556431963405
128,403.56166129175955,0.575204542976186
129,406.5682530066816,0.5561779530576711
130,409.5748447216035,0.6376764477771524
131,412.5814364365256,0.7186514971306066
132,415.5880281514476,0.7441888237365558
133,421.46963328285085,0.8926069710986746
134,424.4762249977729,0.9142456270572512
135,427.4828167126949,0.963469739709199
136,430.4894084276169,0.9855697056715734
137,433.49600014253883,0.9374021976405069
138,436.5025918574609,0.9603984458630004
139,439.50918357238294,0.9245386107219535
140,442.515775287305,0.8957963140157925
141,445.5223670022271,0.915655505865332
142,448.5289587171492,0.8759311672453547
143,451.5355504320713,0.8085130319550268
144,454.5421421469934,0.7388696746509744
145,457.54873386191537,0.666601462723469
146,460.5553255768375,0.651809189588442
