,t (s),phase (n_Phi0)
0,0.0,0.012178739780492776
1,0.06681314922048998,0.0035431635044818055
2,0.13362629844097995,0.0030684766422826026
3,0.20043944766146993,0.010124531436510598
4,0.2672525968819599,-0.010521672492701084
5,0.3340657461024499,-0.0019883409366699967
6,0.40087889532293985,-0.011848228962280882
7,0.46769204454342983,-0.02536959432940622
8,0.5345051937639198,-0.053624624649230235
9,0.6013183429844098,-0.008965054620577728
10,0.6681314922048998,-0.022503830086950227
11,0.7349446414253897,-0.0076184601925198825
12,0.8017577906458797,0.011490846769163343
13,0.8685709398663697,-0.012187794903026905
14,0.9353840890868597,-0.005210872999830696
15,1.0021972383073496,-0.004439779530188925
16,1.0690103875278396,-0.0017158225861302334
17,1.1358235367483296,-0.02030110120096107
18,1.2026366859688196,-0.008083479947220362
19,1.2694498351893095,-0.02315164901535438
20,1.3362629844097995,-0.03464667168308244
21,1.4030761336302895,-0.013874933701141567
22,1.4698892828507795,-0.027656946810931227
23,1.5367024320712694,-0.028842647233779828
24,1.6035155812917594,-0.01143462158146702
25,1.6703287305122494,0.026111906682865782
26,1.7371418797327394,-0.026492307636684975
27,1.8039550289532293,-0.004978691153752712
28,1.8707681781737193,0.018990595111331388
29,1.9375813273942093,0.0026280665330914443
30,2.0043944766146993,-0.04461282828420621
31,2.0712076258351892,-0.013358706061700087
32,2.1380207750556792,-0.02062964869297579
33,2.204833924276169,-0.04894706209333044
34,2.271647073496659,-0.008331285740274974
35,2.338460222717149,-0.012625688060111884
36,2.405273371937639,-0.010913401825035862
37,2.472086521158129,-0.022408957344415392
38,2.538899670378619,0.011304870378409215
39,2.605712819599109,-0.0027725649658661977
40,2.672525968819599,0.0048986702005383576
41,2.739339118040089,-0.018968251517169743
42,2.806152267260579,-0.04265095859478829
43,2.872965416481069,-0.037828063847363036
44,2.939778565701559,-0.03129888867767794
45,3.006591714922049,-0.00850594520588066
46,3.073404864142539,-0.04920549968509835
47,3.140218013363029,0.007924037667029427
48,3.207031162583519,0.0055319290522914955
49,3.273844311804009,0.001916315200192087
50,3.340657461024499,0.011089829197037049
51,3.4074706102449888,0.00134463766818671
52,3.4742837594654787,-0.005664917180139062
53,3.5410969086859687,-0.04354185194574156
54,3.6079100579064587,-0.021789685788738078
55,3.6747232071269487,-0.03640285011455846
56,3.7415363563474386,-0.021989262322204994
57,3.8083495055679286,-0.0198939504626916
58,3.8751626547884186,-0.009597949949262774
59,3.9419758040089086,-0.008095406373128444
60,4.0087889532293985,-0.006922444181736598
61,4.0756021024498885,0.016728572983020107
62,4.1424152516703785,-0.027844856941920404
63,4.2092284008908685,0.00010079842902588343
64,4.2760415501113584,-0.004973528197485311
65,4.342854699331848,-0.017786611586815604
66,4.409667848552338,-0.045905224612900475
67,4.476480997772828,-0.015555806709305897
68,4.543294146993318,-0.013933532247054958
69,4.610107296213808,-0.028311448371693637
70,4.676920445434298,-0.002338185674849891
71,4.743733594654788,0.014659064560358592
72,4.810546743875278,-0.014662174429961983
73,4.877359893095768,-0.01232570001496247
74,4.944173042316258,0.027305166436904393
75,5.010986191536748,-0.01811044129570971
76,5.077799340757238,-0.01724357673615806
77,5.144612489977728,-0.011475691044343761
78,5.211425639198218,-0.017232077218385933
79,5.278238788418708,-0.016444193928608297
80,5.345051937639198,-0.020983416814538525
81,5.411865086859688,-0.021320532494425892
82,5.478678236080178,-0.012208328435989513
83,5.545491385300668,0.015918805445337414
84,5.612304534521158,-0.003722321830183839
85,5.679117683741648,0.00030921590340193816
86,5.745930832962138,-0.0031225625682895775
87,5.812743982182628,0.01660813523314364
88,5.879557131403118,-0.01779241104477003
89,5.946370280623608,-0.02360642212917452
90,6.013183429844098,-0.004645937610766926
91,6.079996579064588,-0.032271536489997366
92,6.146809728285078,-0.027259349882398642
93,6.213622877505568,-0.011948782449133444
94,6.280436026726058,-0.02328110453924548
95,6.347249175946548,-0.0041746073256138105
96,6.414062325167038,0.014907257885312997
97,6.480875474387528,-0.004409037676193384
98,6.547688623608018,0.010795211312834008
99,6.614501772828508,0.012981699999282448
100,6.681314922048998,-0.03634885811337374
101,6.7481280712694875,-0.01645591691889592
102,6.8149412204899775,-0.026947114050035914
103,6.8817543697104675,-0.023602265165347136
104,6.9485675189309575,-0.05655098150128479
105,7.0153806681514475,0.0010125305258877892
106,7.082193817371937,-0.005074575012341209
107,7.149006966592427,0.0047215123773926004
108,7.215820115812917,0.010302529498153024
109,7.282633265033407,-0.005034682776053345
110,7.349446414253897,-0.01859145547482688
111,7.416259563474387,-0.008436013933810882
112,7.483072712694877,-0.012179789930160112
113,7.549885861915367,-0.04351338485970824
114,7.616699011135857,-0.004844583542370717
115,7.683512160356347,-0.009407327019826273
116,7.750325309576837,-0.02450054632898535
117,7.817138458797327,0.005295770917804532
118,7.883951608017817,0.0017063884337720214
119,7.950764757238307,-0.0095891642138618
120,8.017577906458797,-0.0006635271006943944
121,8.084391055679287,0.01388629846299716
122,8.151204204899777,-0.01897109380275719
123,8.218017354120267,-0.02718520212436759
124,8.284830503340757,-0.010928909814016396
125,8.351643652561247,-0.01656407570678986
126,8.418456801781737,-0.022701474439293823
127,8.485269951002227,-0.023917126123986554
128,8.552083100222717,0.011663948689272563
129,8.618896249443207,-0.018302559332142976
130,8.685709398663697,0.020186360534427794
131,8.752522547884187,-0.006529822685911846
132,8.819335697104677,-0.00306348435543502
133,8.886148846325167,-0.007876590506615821
134,8.952961995545657,0.02577565050998154
135,9.019775144766147,-0.01645634025352327
136,9.086588293986637,-0.014120775934503227
137,9.153401443207127,-0.014279187214792266
138,9.220214592427617,-0.016625337696433706
139,9.287027741648107,-0.012681164383496424
140,9.353840890868597,-0.011636464307817618
141,9.420654040089087,0.016992263493779358
