,t (s),phase (n_Phi0)
0,0.0,1.358568557995239
1,0.06681314922048998,-0.20432049330709348
2,0.13362629844097995,-0.11455949969976187
3,0.20043944766146993,1.414345845452365
4,0.2672525968819599,-0.1253253048098648
5,0.3340657461024499,1.3466265962744217
6,0.40087889532293985,-0.15474407821125527
7,0.46769204454342983,1.4051870495876726
8,0.5345051937639198,-0.15689973930097545
9,0.6013183429844098,0.5358880178043384
10,0.6681314922048998,0.7168411082548696
11,0.7349446414253897,-0.6847748773892245
12,0.8017577906458797,-0.5314556371027337
13,0.8685709398663697,-0.37659008774374436
14,0.9353840890868597,-0.2262615899182813
15,1.0021972383073496,-0.03443256833669063
16,1.0690103875278396,0.04216889318911074
17,1.1358235367483296,0.2313937520223455
18,1.2026366859688196,0.3272229660543996
19,1.2694498351893095,0.7614270743293077
20,1.3362629844097995,-0.574526299617887
21,1.4030761336302895,-0.4175386891399123
22,1.4698892828507795,-0.15470860115262236
23,1.5367024320712694,0.05300297046427355
24,1.6035155812917594,0.3323435598959311
25,1.6703287305122494,1.4236040167519595
26,1.7371418797327394,-0.08014020425960491
27,1.8039550289532293,-0.3125058024961762
28,1.8707681781737193,0.14270101745950226
29,1.9375813273942093,0.6605728955045576
30,2.0043944766146993,-0.49922547131311557
31,2.0712076258351892,0.008457360845217296
32,2.1380207750556792,1.4067033865586267
33,2.204833924276169,-0.0971268764904478
34,2.271647073496659,1.4397889508058161
35,2.338460222717149,-0.07372655918486923
36,2.405273371937639,1.455745975340544
37,2.472086521158129,-0.05550868319097156
38,2.538899670378619,1.4344257131912865
39,2.605712819599109,1.4781271276866166
40,2.672525968819599,-0.08397422759387904
41,2.739339118040089,1.4642424125623064
42,2.806152267260579,-0.11659607594077762
43,2.872965416481069,0.4407539481020981
44,2.939778565701559,-0.5790484212550452
45,3.006591714922049,-0.1641650017960678
46,3.073404864142539,0.3024594749492119
47,3.140218013363029,-0.005611120170675665
48,3.207031162583519,0.4780822794480195
49,3.273844311804009,-0.6232048611115586
50,3.340657461024499,-0.16539222863393438
51,3.4074706102449888,0.31612593046807225
52,3.4742837594654787,1.494026976836263
53,3.5410969086859687,-0.051864754535874476
54,3.6079100579064587,1.4538147930342435
55,3.6747232071269487,-0.015298476313389691
56,3.7415363563474386,1.517811778673241
57,3.8083495055679286,1.515009730356114
58,3.8751626547884186,-0.06614720162596323
59,3.9419758040089086,1.5251869908511613
60,4.0087889532293985,-0.03572622813889516
61,4.0756021024498885,1.5370152818643283
62,4.1424152516703785,0.005623495040065495
63,4.2092284008908685,1.5190663119505181
64,4.2760415501113584,0.020996732296043336
65,4.342854699331848,1.4906098536279575
66,4.409667848552338,0.007647170327444699
67,4.476480997772828,-0.0798515100959917
68,4.543294146993318,1.523914057560517
69,4.610107296213808,-0.02546351131010892
70,4.676920445434298,1.506481138509305
71,4.743733594654788,-0.013295031624653966
72,4.810546743875278,1.5067582802024717
73,4.877359893095768,0.06606355444695589
74,4.944173042316258,0.47944028710816444
75,5.010986191536748,-0.6379664094675696
76,5.077799340757238,-0.16238804238940044
77,5.144612489977728,0.32091416474879714
78,5.211425639198218,1.5615116684048205
79,5.278238788418708,1.5597279546895944
80,5.345051937639198,0.010947663040069805
81,5.411865086859688,1.481186401816467
82,5.478678236080178,0.02935414414808351
83,5.545491385300668,-0.3208241433408834
84,5.612304534521158,0.015008156671515227
85,5.679117683741648,0.3284502383571859
86,5.745930832962138,0.5813716266346529
87,5.812743982182628,-0.6040058783224294
88,5.879557131403118,1.5426654051020423
89,5.946370280623608,0.030438616567954983
90,6.013183429844098,1.5486847607665573
91,6.079996579064588,0.07348885058202574
92,6.146809728285078,1.5581212521133827
93,6.213622877505568,0.02427390306967974
94,6.280436026726058,-0.0030823288663970345
95,6.347249175946548,1.5853935692682046
96,6.414062325167038,0.05536732639638389
97,6.480875474387528,1.5862344238351025
98,6.547688623608018,0.048050504017498795
99,6.614501772828508,1.5543747412006303
100,6.681314922048998,0.07655307779049081
101,6.7481280712694875,0.4642093240691103
102,6.8149412204899775,-0.5980066997443858
103,6.8817543697104675,-0.1966148543246166
104,6.9485675189309575,0.3304121413440454
105,7.0153806681514475,-0.26503341164285366
106,7.082193817371937,-0.10082846686191771
107,7.149006966592427,-0.022095223217959203
108,7.215820115812917,0.024506685572639242
109,7.282633265033407,0.16198314820627724
110,7.349446414253897,0.31029846967013786
111,7.416259563474387,0.3924664190244973
112,7.483072712694877,0.4723443902189144
113,7.549885861915367,-0.9736420109697481
114,7.616699011135857,-0.37244645147648026
115,7.683512160356347,-0.011716995415728126
116,7.750325309576837,0.3362911452344557
117,7.817138458797327,0.6931912464800156
118,7.883951608017817,-0.48615568961792943
119,7.950764757238307,-0.15916325520426555
120,8.017577906458797,-0.27004984494227613
121,8.084391055679287,-0.1149140336648784
122,8.151204204899777,0.04976412684699216
123,8.218017354120267,0.23566762393542073
124,8.284830503340757,0.37501589306179417
125,8.351643652561247,0.5387777765747133
126,8.418456801781737,-0.8142615418117863
127,8.485269951002227,1.6222523843472734
128,8.552083100222717,1.6545379332199228
129,8.618896249443207,0.125447845852061
130,8.685709398663697,1.6799888665025746
131,8.752522547884187,0.11458505903415649
132,8.819335697104677,1.6451962598751941
133,8.886148846325167,0.19885935682261896
134,8.952961995545657,-0.25352299928194255
135,9.019775144766147,-0.1255463882397685
136,9.086588293986637,0.03849953500326575
137,9.153401443207127,0.19264297255452134
138,9.220214592427617,0.4365753766839511
139,9.287027741648107,0.5437913598726896
140,9.353840890868597,-0.8324398565927948
